Vin, Vout, TC, Iin, Iout
+4.00342390E+01, +4.98032930E+00, +4.52700000E+01, +2.98461200E-02, +1.89323150E-01
+4.00341090E+01, +4.97959810E+00, +4.53950000E+01, +3.00045000E-02, +1.90357200E-01
+4.00335870E+01, +4.97903660E+00, +4.55290000E+01, +3.01707400E-02, +1.91383400E-01
+4.00334560E+01, +4.97899740E+00, +4.56690000E+01, +3.03461300E-02, +1.92441010E-01
+4.00342390E+01, +4.97891910E+00, +4.58710000E+01, +3.05071300E-02, +1.93430560E-01
+4.00341090E+01, +4.97887990E+00, +4.60180000E+01, +3.06563500E-02, +1.94438430E-01
+4.00342390E+01, +4.97901050E+00, +4.61450000E+01, +3.08382900E-02, +1.95492110E-01
+4.00356750E+01, +4.97877540E+00, +4.63020000E+01, +3.09966700E-02, +1.96527470E-01
+4.00342390E+01, +4.97901050E+00, +4.64420000E+01, +3.11432700E-02, +1.97527490E-01
+4.00345000E+01, +4.97890600E+00, +4.65540000E+01, +3.13212800E-02, +1.98549760E-01
+4.00346310E+01, +4.97867100E+00, +4.67200000E+01, +3.14796600E-02, +1.99575990E-01
+4.00348920E+01, +4.97827920E+00, +4.69570000E+01, +3.16472100E-02, +2.00619200E-01
+4.00326730E+01, +4.97744350E+00, +4.71070000E+01, +3.18016600E-02, +2.01633620E-01
+4.00333260E+01, +4.97787440E+00, +4.72730000E+01, +3.19639700E-02, +2.02645420E-01
+4.00337170E+01, +4.97784830E+00, +4.73910000E+01, +3.21275800E-02, +2.03683400E-01
+4.00333260E+01, +4.97748270E+00, +4.74960000E+01, +3.22794200E-02, +2.04725300E-01
+4.00341090E+01, +4.97766550E+00, +4.76180000E+01, +3.24482700E-02, +2.05767210E-01
+4.00339780E+01, +4.97732600E+00, +4.77970000E+01, +3.26040300E-02, +2.06767220E-01
+4.00329340E+01, +4.97724760E+00, +4.79960000E+01, +3.27728800E-02, +2.07802580E-01
+4.00338480E+01, +4.97737820E+00, +4.81700000E+01, +3.29469700E-02, +2.08836630E-01
+4.00342390E+01, +4.97689510E+00, +4.83730000E+01, +3.31053500E-02, +2.09892950E-01
+4.00341090E+01, +4.97590260E+00, +4.84890000E+01, +3.32676500E-02, +2.10868100E-01
+4.00342390E+01, +4.97600710E+00, +4.86250000E+01, +3.34208000E-02, +2.11902150E-01
+4.00345000E+01, +4.97668610E+00, +4.87830000E+01, +3.35961900E-02, +2.12946670E-01
+4.00318900E+01, +4.97650330E+00, +4.89920000E+01, +3.37532700E-02, +2.13959780E-01
+4.00329340E+01, +4.97596790E+00, +4.91540000E+01, +3.39116500E-02, +2.14988590E-01
+4.00326730E+01, +4.97566760E+00, +4.93020000E+01, +3.40818100E-02, +2.16008240E-01
+4.00331950E+01, +4.97548480E+00, +4.94260000E+01, +3.42467300E-02, +2.17044910E-01
+4.00325430E+01, +4.97548480E+00, +4.96130000E+01, +3.44155800E-02, +2.18092050E-01
+4.00338480E+01, +4.97429650E+00, +4.98120000E+01, +3.45805100E-02, +2.19106470E-01
+4.00331950E+01, +4.97468820E+00, +4.98680000E+01, +3.47297200E-02, +2.20109100E-01
+4.00328040E+01, +4.97534110E+00, +5.00040000E+01, +3.48920300E-02, +2.21151050E-01
+4.00331950E+01, +4.97552400E+00, +5.01760000E+01, +3.50569500E-02, +2.22175940E-01
+4.00334560E+01, +4.97575900E+00, +5.02710000E+01, +3.52114100E-02, +2.23216530E-01
+4.00329340E+01, +4.97523670E+00, +5.04480000E+01, +3.53763300E-02, +2.24202150E-01
+4.00335870E+01, +4.97544560E+00, +5.06150000E+01, +3.55360200E-02, +2.25247980E-01
+4.00333260E+01, +4.97532810E+00, +5.07190000E+01, +3.57048700E-02, +2.26285960E-01
+4.00326730E+01, +4.97491020E+00, +5.09090000E+01, +3.58619400E-02, +2.27322630E-01
+4.00320200E+01, +4.97660780E+00, +5.10170000E+01, +3.60281800E-02, +2.28376310E-01
+4.00329340E+01, +4.97594180E+00, +5.12100000E+01, +3.61800100E-02, +2.29364550E-01
+4.00326730E+01, +4.97578510E+00, +5.13490000E+01, +3.63606400E-02, +2.30388130E-01
+4.00320200E+01, +4.97548480E+00, +5.15010000E+01, +3.65216400E-02, +2.31439210E-01
+4.00326730E+01, +4.97552400E+00, +5.16370000E+01, +3.66774000E-02, +2.32474570E-01
+4.00321510E+01, +4.97530200E+00, +5.18270000E+01, +3.68357800E-02, +2.33473280E-01
+4.00325430E+01, +4.97524970E+00, +5.19380000E+01, +3.69915500E-02, +2.34490310E-01
+4.00329340E+01, +4.97463600E+00, +5.21150000E+01, +3.71656300E-02, +2.35524360E-01
+4.00322820E+01, +4.97645110E+00, +5.22130000E+01, +3.73384100E-02, +2.36563650E-01
+4.00325430E+01, +4.97592880E+00, +5.23810000E+01, +3.74994100E-02, +2.37596390E-01
+4.00329340E+01, +4.97585040E+00, +5.24790000E+01, +3.76591000E-02, +2.38602950E-01
+4.00333260E+01, +4.97621600E+00, +5.26780000E+01, +3.78253300E-02, +2.39629150E-01
+4.00309760E+01, +4.97590260E+00, +5.28620000E+01, +3.79810900E-02, +2.40672360E-01
+4.00313680E+01, +4.97592880E+00, +5.30490000E+01, +3.81460200E-02, +2.41710350E-01
+4.00317590E+01, +4.97588960E+00, +5.32160000E+01, +3.83070200E-02, +2.42703830E-01
+4.00317590E+01, +4.97615070E+00, +5.34060000E+01, +3.84784800E-02, +2.43739190E-01
+4.00329340E+01, +4.97624220E+00, +5.35870000E+01, +3.86473400E-02, +2.44769310E-01
+4.00328040E+01, +4.97595490E+00, +5.37570000E+01, +3.88044100E-02, +2.45815140E-01
+4.00313680E+01, +4.97561540E+00, +5.39120000E+01, +3.89588600E-02, +2.46807310E-01
+4.00322820E+01, +4.97578510E+00, +5.41180000E+01, +3.91264000E-02, +2.47847900E-01
+4.00326730E+01, +4.97656860E+00, +5.42540000E+01, +3.92965600E-02, +2.48870170E-01
+4.00326730E+01, +4.97634660E+00, +5.44060000E+01, +3.94654100E-02, +2.49896370E-01
+4.00335870E+01, +4.97616380E+00, +5.46530000E+01, +3.96355700E-02, +2.50935650E-01
+4.00328040E+01, +4.97591570E+00, +5.48020000E+01, +3.97991900E-02, +2.51952720E-01
+4.00328040E+01, +4.97604630E+00, +5.48710000E+01, +3.99549500E-02, +2.52989390E-01
+4.00312370E+01, +4.97629440E+00, +5.51370000E+01, +4.01277300E-02, +2.54023440E-01
+4.00317590E+01, +4.97637270E+00, +5.53020000E+01, +4.02834900E-02, +2.55043090E-01
+4.00317590E+01, +4.97638580E+00, +5.54890000E+01, +4.04497300E-02, +2.56035260E-01
+4.00318900E+01, +4.97641190E+00, +5.57070000E+01, +4.06172700E-02, +2.57066690E-01
+4.00317590E+01, +4.97651640E+00, +5.58620000E+01, +4.07900500E-02, +2.58112520E-01
+4.00320200E+01, +4.97658170E+00, +5.60360000E+01, +4.09471200E-02, +2.59130860E-01
+4.00324120E+01, +4.97654250E+00, +5.62100000E+01, +4.11198900E-02, +2.60180620E-01
+4.00324120E+01, +4.97596790E+00, +5.63870000E+01, +4.12730400E-02, +2.61174090E-01
+4.00326730E+01, +4.97641190E+00, +5.65650000E+01, +4.14392700E-02, +2.62205540E-01
+4.00329340E+01, +4.97634660E+00, +5.66940000E+01, +4.16015800E-02, +2.63253990E-01
+4.00320200E+01, +4.97607240E+00, +5.68640000E+01, +4.17835200E-02, +2.64293270E-01
+4.00325430E+01, +4.97629440E+00, +5.69880000E+01, +4.19301200E-02, +2.65278890E-01
+4.00325430E+01, +4.97603320E+00, +5.71740000E+01, +4.21068400E-02, +2.66307710E-01
+4.00312370E+01, +4.97595490E+00, +5.73120000E+01, +4.22757000E-02, +2.67352230E-01
+4.00311070E+01, +4.97560230E+00, +5.74950000E+01, +4.24380000E-02, +2.68403300E-01
+4.00311070E+01, +4.97549780E+00, +5.76660000E+01, +4.25898400E-02, +2.69387610E-01
+4.00325430E+01, +4.97547170E+00, +5.78810000E+01, +4.27600000E-02, +2.70428200E-01
+4.00318900E+01, +4.97553700E+00, +5.80930000E+01, +4.29249200E-02, +2.71450470E-01
+4.00316290E+01, +4.97535420E+00, +5.83180000E+01, +4.30885400E-02, +2.72510700E-01
+4.00313680E+01, +4.97496250E+00, +5.84480000E+01, +4.32521500E-02, +2.73538240E-01
+4.00321510E+01, +4.97508000E+00, +5.86280000E+01, +4.34197000E-02, +2.74539570E-01
+4.00313680E+01, +4.97518440E+00, +5.88120000E+01, +4.35885500E-02, +2.75556600E-01
+4.00316290E+01, +4.97510610E+00, +5.89670000E+01, +4.37547800E-02, +2.76590650E-01
+4.00326730E+01, +4.97489720E+00, +5.91600000E+01, +4.39210100E-02, +2.77622080E-01
+4.00299320E+01, +4.97445320E+00, +5.93370000E+01, +4.40807000E-02, +2.78620790E-01
+4.00300630E+01, +4.97440100E+00, +5.94890000E+01, +4.42403900E-02, +2.79652230E-01
+4.00309760E+01, +4.97429650E+00, +5.96850000E+01, +4.44027000E-02, +2.80681040E-01
+4.00313680E+01, +4.97428340E+00, +5.98310000E+01, +4.45807100E-02, +2.81721640E-01
+4.00308460E+01, +4.97410060E+00, +6.00370000E+01, +4.47430200E-02, +2.82762230E-01
