Vin, Vout, TC, Iin, Iout
+4.50389120E+01, +4.93179230E+00, +9.56120000E+01, +6.99830500E-02, +5.00925170E-01
+4.50399560E+01, +4.93188370E+00, +9.55550000E+01, +6.99765000E-02, +5.00918620E-01
+4.50374760E+01, +4.93170090E+00, +9.55680000E+01, +6.99882800E-02, +5.00914690E-01
+4.50395650E+01, +4.93193590E+00, +9.56220000E+01, +6.99830500E-02, +5.00913390E-01
+4.50413920E+01, +4.93193590E+00, +9.57420000E+01, +6.99948300E-02, +5.00922550E-01
+4.50389120E+01, +4.93204040E+00, +9.57230000E+01, +6.99804300E-02, +5.00918620E-01
+4.50400870E+01, +4.93198810E+00, +9.56630000E+01, +6.99856600E-02, +5.00916000E-01
+4.50393040E+01, +4.93204040E+00, +9.56690000E+01, +6.99830500E-02, +5.00916000E-01
+4.50395650E+01, +4.93209260E+00, +9.56750000E+01, +6.99895900E-02, +5.00908150E-01
+4.50383900E+01, +4.93222320E+00, +9.56470000E+01, +6.99869700E-02, +5.00926470E-01
+4.50399560E+01, +4.93219710E+00, +9.56850000E+01, +7.00026800E-02, +5.00929090E-01
+4.50370850E+01, +4.93192280E+00, +9.56310000E+01, +6.99791200E-02, +5.00912080E-01
+4.50396950E+01, +4.93196200E+00, +9.56310000E+01, +6.99804300E-02, +5.00912080E-01
+4.50408700E+01, +4.93204040E+00, +9.56120000E+01, +6.99751900E-02, +5.00921240E-01
+4.50399560E+01, +4.93197510E+00, +9.56030000E+01, +6.99843600E-02, +5.00908150E-01
+4.50404780E+01, +4.93193590E+00, +9.56280000E+01, +6.99869700E-02, +5.00921240E-01
+4.50390430E+01, +4.93180530E+00, +9.56470000E+01, +6.99843600E-02, +5.00910770E-01
+4.50399560E+01, +4.93193590E+00, +9.56250000E+01, +6.99804300E-02, +5.00921240E-01
+4.50390430E+01, +4.93202730E+00, +9.56560000E+01, +6.99987500E-02, +5.00923860E-01
+4.50406090E+01, +4.93213180E+00, +9.56820000E+01, +6.99935200E-02, +5.00916000E-01
+4.50406090E+01, +4.93198810E+00, +9.56660000E+01, +6.99843600E-02, +5.00905530E-01
+4.50390430E+01, +4.93201430E+00, +9.57040000E+01, +6.99882800E-02, +5.00925170E-01
+4.50411310E+01, +4.93198810E+00, +9.56600000E+01, +6.99804300E-02, +5.00921240E-01
+4.50398260E+01, +4.93213180E+00, +9.57070000E+01, +6.99909000E-02, +5.00922550E-01
+4.50406090E+01, +4.93194900E+00, +9.57480000E+01, +6.99791200E-02, +5.00922550E-01
+4.50396950E+01, +4.93207950E+00, +9.58330000E+01, +6.99869700E-02, +5.00923860E-01
+4.50403480E+01, +4.93200120E+00, +9.57980000E+01, +6.99895900E-02, +5.00917310E-01
+4.50411310E+01, +4.93193590E+00, +9.57010000E+01, +6.99843600E-02, +5.00919930E-01
+4.50399560E+01, +4.93204040E+00, +9.56410000E+01, +6.99869700E-02, +5.00926470E-01
+4.50402170E+01, +4.93200120E+00, +9.57830000E+01, +6.99895900E-02, +5.00912080E-01
+4.50393040E+01, +4.93214480E+00, +9.58460000E+01, +6.99935200E-02, +5.00910770E-01
+4.50416530E+01, +4.93215790E+00, +9.58610000E+01, +6.99987500E-02, +5.00931710E-01
+4.50399560E+01, +4.93234070E+00, +9.59310000E+01, +6.99856600E-02, +5.00910770E-01
+4.50411310E+01, +4.93205340E+00, +9.59560000E+01, +6.99882800E-02, +5.00910770E-01
+4.50408700E+01, +4.93198810E+00, +9.58360000E+01, +6.99843600E-02, +5.00909460E-01
+4.50389120E+01, +4.93211870E+00, +9.57980000E+01, +6.99922100E-02, +5.00910770E-01
+4.50412620E+01, +4.93213180E+00, +9.57350000E+01, +6.99778100E-02, +5.00926470E-01
+4.50399560E+01, +4.93221010E+00, +9.58200000E+01, +6.99869700E-02, +5.00925170E-01
+4.50407390E+01, +4.93202730E+00, +9.57790000E+01, +6.99935200E-02, +5.00909460E-01
+4.50381290E+01, +4.93202730E+00, +9.57260000E+01, +6.99765000E-02, +5.00916000E-01
+4.50404780E+01, +4.93185760E+00, +9.55770000E+01, +6.99843600E-02, +5.00910770E-01
+4.50391730E+01, +4.93188370E+00, +9.56030000E+01, +6.99804300E-02, +5.00910770E-01
+4.50407390E+01, +4.93187060E+00, +9.55520000E+01, +6.99791200E-02, +5.00914690E-01
+4.50423060E+01, +4.93197510E+00, +9.54900000E+01, +6.99843600E-02, +5.00910770E-01
+4.50403480E+01, +4.93177920E+00, +9.54630000E+01, +6.99817400E-02, +5.00922550E-01
+4.50408700E+01, +4.93192280E+00, +9.55520000E+01, +6.99843600E-02, +5.00912080E-01
+4.50400870E+01, +4.93183140E+00, +9.54980000E+01, +6.99882800E-02, +5.00939560E-01
+4.50415230E+01, +4.93187060E+00, +9.55550000E+01, +6.99922100E-02, +5.00926470E-01
+4.50398260E+01, +4.93196200E+00, +9.55630000E+01, +6.99948300E-02, +5.00938260E-01
+4.50406090E+01, +4.93206650E+00, +9.55280000E+01, +6.99909000E-02, +5.00936950E-01
+4.50432190E+01, +4.93181840E+00, +9.55570000E+01, +6.99922100E-02, +5.00938260E-01
+4.50402170E+01, +4.93190980E+00, +9.55350000E+01, +7.00079200E-02, +5.00934330E-01
+4.50408700E+01, +4.93181840E+00, +9.55860000E+01, +6.99895900E-02, +5.00935640E-01
+4.50396950E+01, +4.93197510E+00, +9.55430000E+01, +6.99895900E-02, +5.00923860E-01
+4.50412620E+01, +4.93197510E+00, +9.56110000E+01, +6.99856600E-02, +5.00925170E-01
+4.50406090E+01, +4.93201430E+00, +9.56410000E+01, +6.99974400E-02, +5.00925170E-01
